Situation sanitaire Maroc;cumul des cas confirmés;test exclu;test dépistage;Nombre de cas contaminés par jours;Taux de cas confirmés après les tests de dépistges;Test dépistage par jours;Taux de cas confirmés après les tests de dépistges par jours;Variation journalière;Variation test dépistage;Nombre de guéris par jours;Nombre de décés par jours;Nombre de guéris;Nombre de décés;Taux de guérison;Taux de décés;Cas actifs;Cas actifs par jours
02/03/2020;1;28;29;1;3,45%;28;3,57%;;;0;0;0;0;0,00%;0,00%;1;1
03/03/2020;1;32;33;0;3,03%;4;0,00%;0,00%;13,79%;0;0;0;0;0,00%;0,00%;1;0
04/03/2020;1;34;35;0;2,86%;2;0,00%;0,00%;6,06%;0;0;0;0;0,00%;0,00%;1;0
05/03/2020;2;48;50;1;4,00%;15;6,67%;100,00%;42,86%;0;0;0;0;0,00%;0,00%;2;1
06/03/2020;2;50;52;0;3,85%;2;0,00%;0,00%;4,00%;0;0;0;0;0,00%;0,00%;2;0
07/03/2020;2;55;57;0;3,51%;5;0,00%;0,00%;9,62%;0;0;0;0;0,00%;0,00%;2;0
08/03/2020;2;60;62;0;3,23%;5;0,00%;0,00%;8,77%;0;0;0;0;0,00%;0,00%;2;0
09/03/2020;2;60;62;0;3,23%;0;0,00%;0,00%;0,00%;0;0;0;0;0,00%;0,00%;2;0
10/03/2020;3;63;66;1;4,55%;4;25,00%;50,00%;6,45%;0;1;0;1;0,00%;33,33%;2;0
11/03/2020;5;78;83;2;6,02%;17;11,76%;66,67%;25,76%;0;0;0;1;0,00%;20,00%;4;2
12/03/2020;6;91;97;1;6,19%;14;7,14%;20,00%;16,87%;0;0;0;1;0,00%;16,67%;5;1
13/03/2020;7;106;113;1;6,19%;16;6,25%;16,67%;16,49%;1;0;1;1;14,29%;14,29%;5;0
14/03/2020;17;112;129;10;13,18%;16;62,50%;142,86%;14,16%;0;0;1;1;5,88%;5,88%;15;10
15/03/2020;28;122;150;11;18,67%;21;52,38%;64,71%;16,28%;0;0;1;1;3,57%;3,57%;26;11
16/03/2020;29;152;181;1;16,02%;31;3,23%;3,57%;20,67%;0;0;1;1;3,45%;3,45%;27;1
17/03/2020;38;183;221;9;17,19%;40;22,50%;31,03%;22,10%;0;1;1;2;2,63%;5,26%;35;8
18/03/2020;49;263;312;11;15,71%;91;12,09%;28,95%;41,18%;0;0;1;2;2,04%;4,08%;46;11
19/03/2020;63;307;370;14;17,03%;58;24,14%;28,57%;18,59%;0;0;1;2;1,59%;3,17%;60;14
20/03/2020;79;385;464;16;17,03%;94;17,02%;25,40%;25,41%;1;0;2;2;2,53%;2,53%;75;15
21/03/2020;96;445;541;17;17,74%;77;22,08%;21,52%;16,59%;1;0;3;2;3,13%;2,08%;91;16
22/03/2020;115;512;627;19;18,34%;86;22,09%;19,79%;15,90%;0;2;3;4;2,61%;3,48%;108;17
23/03/2020;143;643;786;28;18,19%;159;17,61%;24,35%;25,36%;2;0;5;4;3,50%;2,80%;134;26
24/03/2020;170;685;855;27;19,88%;69;39,13%;18,88%;8,78%;1;1;6;5;3,53%;2,94%;159;25
25/03/2020;225;740;965;55;23,32%;110;50,00%;32,35%;12,87%;1;1;7;6;3,11%;2,67%;212;53
26/03/2020;275;931;1206;50;22,80%;241;20,75%;22,22%;24,97%;1;4;8;10;2,91%;3,64%;257;45
27/03/2020;345;1423;1768;70;19,51%;562;12,46%;25,45%;46,60%;3;13;11;23;3,19%;6,67%;311;54
28/03/2020;402;1574;1976;57;20,34%;208;27,40%;16,52%;11,76%;1;2;12;25;2,99%;6,22%;365;54
29/03/2020;479;1794;2273;77;21,07%;297;25,93%;19,15%;15,03%;1;1;13;26;2,71%;5,43%;440;75
30/03/2020;556;2195;2751;77;20,21%;478;16,11%;16,08%;21,03%;2;7;15;33;2,70%;5,94%;508;68
31/03/2020;617;2462;3079;61;20,04%;328;18,60%;10,97%;11,92%;9;3;24;36;3,89%;5,83%;557;49
01/04/2020;654;2691;3345;37;19,55%;266;13,91%;6,00%;8,64%;5;3;29;39;4,43%;5,96%;586;29
02/04/2020;708;2916;3624;54;19,54%;279;19,35%;8,26%;8,34%;2;5;31;44;4,38%;6,21%;633;47
03/04/2020;791;3119;3910;83;20,23%;286;29,02%;11,72%;7,89%;26;4;57;48;7,21%;6,07%;686;53
04/04/2020;919;3402;4321;128;21,27%;411;31,14%;16,18%;10,51%;9;11;66;59;7,18%;6,42%;794;108
